mid,title,release_date,summary,runtime,rating,num_votes
tt7131622,Once Upon a Time... in Hollywood,2019-07-24,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,161,7.7,461280
tt8367814,The Gentlemen,2020-01-01,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",113,7.9,129292
tt6751668,Gisaengchung,2019-05-30,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,8.6,400320
tt8946378,Knives Out,2019-11-27,"A detective investigates the death of a patriarch of an eccentric, combative family.",131,7.9,297471
tt8579674,1917,2020-01-02,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,8.3,304311
tt4154796,Avengers: Endgame,2019-04-24,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,8.4,713732
tt7286456,Joker,2019-10-01,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122,8.5,782519
tt2584384,Jojo Rabbit,2019-10-24,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,108,7.9,210093
tt0111161,The Shawshank Redemption,1994-09-23,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,9.3,2236933
tt0068646,The Godfather,1972-03-24,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175,9.2,1542431
tt3281548,Little Women,2019-12-24,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",135,7.9,101896
tt0088763,Back to the Future,1985-07-03,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",116,8.5,999445
tt0076759,Star Wars,1977-05-25,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121,8.6,1188658
tt0093779,The Princess Bride,1987-10-09,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",98,8.1,378140
tt7984734,The Lighthouse,2019-10-18,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.,109,7.6,100964
tt0816692,Interstellar,2014-11-05,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169,8.6,1412060
tt0082971,Raiders of the Lost Ark,1981-06-12,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",115,8.4,852862
tt1375666,Inception,2010-07-14,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,148,8.8,1961177
tt0468569,The Dark Knight,2008-07-16,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,9.0,2207541
tt1950186,Ford v Ferrari,2019-11-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,152,8.1,212265
tt1853728,Django Unchained,2012-12-25,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165,8.4,1294032
tt0241527,Harry Potter and the Sorcerer's Stone,2001-11-16,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",152,7.6,610390
